Country,Time,Balance,Product,Value,Unit
France,25-Mar,Net Electricity Production,Electricity,48346.8306,GWh
France,25-Mar,Net Electricity Production,Nuclear,32273.6684,GWh
France,25-Mar,Net Electricity Production,Hydro,5655.5649,GWh
France,25-Mar,Net Electricity Production,Total Combustible Fuels,3662.7919,GWh
France,25-Mar,Net Electricity Production,Natural Gas,1982.0549,GWh
France,25-Mar,Net Electricity Production,Combustible Renewables,1503.8594,GWh
France,25-Mar,Net Electricity Production,Other Combustible Non-Renewables,176.8775,GWh
France,25-Mar,Net Electricity Production,Geothermal,9.6698,GWh
France,25-Mar,Net Electricity Production,Solar,2587.0876,GWh
France,25-Mar,Net Electricity Production,Other Renewables,36.9812,GWh
France,25-Mar,Net Electricity Production,Not Specified,116.4198,GWh
France,25-Mar,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",13797.8101,GWh
France,25-Mar,Total Imports,Electricity,2015.9185,GWh
France,25-Mar,Total Exports,Electricity,8112.6529,GWh
France,25-Mar,Used for pumped storage,Electricity,793.345,GWh
France,25-Mar,Distribution Losses,Electricity,3668.348,GWh
France,25-Mar,Final Consumption (Calculated),Electricity,37788.4033,GWh
France,25-Mar,Net Electricity Production,Wind,4004.6471,GWh
Germany,25-Mar,Net Electricity Production,Electricity,41511.9022,GWh
Germany,25-Mar,Net Electricity Production,Hydro,1799.5827,GWh
Germany,25-Mar,Net Electricity Production,Total Combustible Fuels,23739.1287,GWh
Germany,25-Mar,Net Electricity Production,"Coal, Peat and Manufactured Gases",11014.7387,GWh
Germany,25-Mar,Net Electricity Production,Oil and Petroleum Products,522.4407,GWh
Germany,25-Mar,Net Electricity Production,Natural Gas,8022.352,GWh
Germany,25-Mar,Net Electricity Production,Combustible Renewables,3675.3518,GWh
Germany,25-Mar,Net Electricity Production,Geothermal,17.1882,GWh
Germany,25-Mar,Net Electricity Production,Other Combustible Non-Renewables,504.2456,GWh
Germany,25-Mar,Net Electricity Production,Solar,7842.3476,GWh
Germany,25-Mar,Net Electricity Production,Not Specified,131.7468,GWh
Germany,25-Mar,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",21316.3785,GWh
Germany,25-Mar,Total Imports,Electricity,6501.1166,GWh
Germany,25-Mar,Total Exports,Electricity,4663.7053,GWh
Germany,25-Mar,Used for pumped storage,Electricity,996.2147,GWh
Germany,25-Mar,Distribution Losses,Electricity,2136.4637,GWh
Germany,25-Mar,Final Consumption (Calculated),Electricity,40216.635,GWh
Germany,25-Mar,Net Electricity Production,Wind,7981.9083,GWh
France,25-Feb,Net Electricity Production,Electricity,47918.9144,GWh
France,25-Feb,Net Electricity Production,Nuclear,32005.3703,GWh
France,25-Feb,Net Electricity Production,Hydro,6719.0271,GWh
