month,carbon_kg
2010-01,46092496725.0
2010-02,40082663081.0
2010-03,41215277134.0
2010-04,31303998768.0
2010-05,29939780632.0
2010-06,29461013016.0
2010-07,30094753932.0
2010-08,27552149583.0
2010-09,28452126515.0
2010-10,32740030418.0
2010-11,39436720314.0
2010-12,47177931489.0
2011-01,46280721558.0
2011-02,40350415811.0
2011-03,41230476720.0
2011-04,30347233296.0
2011-05,30566988472.0
2011-06,29036005688.0
2011-07,29037858080.0
2011-08,27510363106.0
2011-09,28637896810.0
2011-10,32841761855.0
2011-11,38567173060.0
2011-12,42357076976.0
2012-01,44724741776.0
2012-02,47415569915.0
2012-03,38307226659.0
2012-04,34170735319.0
2012-05,30574008424.0
2012-06,28814976281.0
2012-07,28791905407.0
2012-08,27698731374.0
2012-09,28268668611.0
2012-10,32706970490.0
2012-11,38621835934.0
2012-12,42978198935.0
2013-01,46378678319.0
2013-02,43423256936.0
2013-03,43294872834.0
2013-04,34546552698.0
2013-05,32408245394.0
2013-06,29063564226.0
2013-07,30276472550.0
2013-08,28547849191.0
2013-09,29184400156.0
2013-10,32131082147.0
2013-11,39640218583.0
2013-12,42385429790.0
2014-01,42754635172.0
2014-02,38460763432.0
2014-03,37794214200.0
2014-04,30247690050.0
2014-05,30505274291.0
2014-06,28266691231.0
2014-07,30484173053.0
2014-08,28081882319.0
2014-09,28347366904.0
2014-10,30784105170.0
2014-11,36551629913.0
2014-12,42852826849.0
2015-01,45701342467.0
2015-02,42582467691.0
2015-03,40139497826.0
2015-04,31123569251.0
2015-05,29581056674.0
2015-06,28726452974.0
2015-07,30233262566.0
2015-08,27411126066.0
2015-09,28953062999.0
2015-10,34253134043.0
2015-11,37941538934.0
2015-12,40092027134.0
2016-01,44089861416.0
2016-02,40726810601.0
2016-03,41593151528.0
2016-04,33610534039.0
2016-05,30629094346.0
2016-06,30119981997.0
2016-07,29438718963.0
2016-08,27847126563.0
2016-09,29807932236.0
2016-10,33165324094.0
2016-11,39553772979.0
2016-12,43842911422.0
2017-01,49293037560.1
2017-02,39923527924.5
2017-03,40273057898.6
2017-04,32686229675.6
2017-05,31630859736.7
2017-06,28910893541.5
2017-07,31003847684.9
2017-08,27896718696.6
2017-09,29673891837.2
2017-10,33293683966.7
2017-11,40170982521.4
2017-12,44391724725.100006
2018-01,43817219051.6
2018-02,44073073756.4
2018-03,42895260672.2
2018-04,33097112849.9
2018-05,32764688758.000004
2018-06,31138319824.7
2018-07,31947316850.4
2018-08,29243137433.8
2018-09,29475571634.300003
2018-10,32750461100.8
2018-11,37585584936.0
2018-12,41546443320.3
2019-01,45423118344.5
2019-02,39712449501.200005
2019-03,39815890694.0
2019-04,32749144684.3
2019-05,33115356339.2
2019-06,30844314649.8
2019-07,31591680998.300003
2019-08,29463223280.4
2019-09,29594423124.1
2019-10,32460770298.7
2019-11,39458946612.7
2019-12,42222410434.5
2020-01,43563418715.4
2020-02,40294631693.9
2020-03,39012476593.5
2020-04,28973255971.6
2020-05,29899554441.999996
2020-06,28426688367.4
2020-07,28942176532.5
2020-08,27544198797.899998
2020-09,27688338595.7
2020-10,33380037108.699997
2020-11,36094179967.2
2020-12,41505798482.0
2021-01,45822077272.2
2021-02,38921563024.0
2021-03,39259376331.2
2021-04,32400842292.8
2021-05,32918171997.5
2021-06,30374656843.3
2021-07,31653819650.5
2021-08,29988756280.100002
2021-09,29631189106.6
2021-10,32559447910.1
2021-11,37776442636.8
2021-12,41303881340.5
2022-01,44199073241.2
2022-02,38267893362.1
2022-03,37353333934.2
2022-04,32160402029.5
2022-05,29698797005.399998
2022-06,28004215886.1
2022-07,28725399031.8
2022-08,26847191888.399998
2022-09,27200945855.2
2022-10,28950658192.5
2022-11,33244943736.600002
2022-12,40262427290.7
2023-01,41809262455.0
2023-02,36338183280.3
2023-03,36831327183.8
2023-04,31418110628.6
2023-05,31205330146.2
2023-06,29278128307.9
2023-07,29847975254.0
2023-08,28556521933.7
2023-09,28587856474.9
2023-10,30898267193.399998
2023-11,36963580087.1
2023-12,41063257603.1
2024-01,43339076685.299995
2024-02,37806654822.2
2024-03,36798622826.1
2024-04,31745101006.600002
2024-05,31982576860.6
2024-06,29784522439.0
2024-07,30957661017.600002
2024-08,29399190237.1
2024-09,28896015982.3
2024-10,31544602078.8
2024-11,34983491584.1
2024-12,39947886241.299995
2025-01,43284429415.0
2025-02,37278736315.4
2025-03,37563566119.9
