ds,yhat,yhat_lower,yhat_upper
2010-01-01,50260.939917119715,48196.18320330548,52377.80447452198
2010-02-01,44355.617132762956,42340.25934263044,46452.65533913359
2010-03-01,43674.95957073555,41651.02243685195,45793.639566343496
2010-04-01,36310.66886066866,34194.60602648946,38395.36243599157
2010-05-01,34107.417340123764,32138.135918092546,36309.85644075201
2010-06-01,32415.97477247149,30309.370414818677,34617.45208990437
2010-07-01,33669.51251030532,31641.027207534455,35707.48642321684
2010-08-01,31640.985949789643,29610.36844279262,33802.40825838102
2010-09-01,32835.69478250746,30702.279424604938,34904.871883346335
2010-10-01,36389.145568846536,34212.99632157102,38401.26008288343
2010-11-01,41522.60758152538,39408.044457475175,43735.21493759909
2010-12-01,46906.193029372385,44831.43449771852,49081.145305274345
2011-01-01,49349.23001236671,47111.67157605276,51324.156378987354
2011-02-01,44589.71561413021,42526.989539168404,46624.21315556953
2011-03-01,43723.79201504007,41854.17021259086,45807.89907198237
2011-04-01,35745.58794464865,33686.82973355232,37763.549059238816
2011-05-01,33754.075976619686,31704.744655839597,35919.069502920174
2011-06-01,32094.69605947098,30079.941803794103,34222.385189975685
2011-07-01,33359.96288646938,31340.368502658333,35566.13529594759
2011-08-01,31296.19479915279,29178.887462694638,33501.07073631392
2011-09-01,32752.560210937096,30675.195771618477,34767.51155475094
2011-10-01,36107.69932497569,34023.007463931295,38126.219466816416
2011-11-01,41338.085461816096,39218.32601556886,43566.98864152741
2011-12-01,46372.49252030306,44186.27646043906,48466.63645707048
2012-01-01,48463.16580071231,46265.117455432366,50540.24569605129
2012-02-01,44856.012183764826,42874.57173434378,47016.05169757983
2012-03-01,42394.579094472596,40391.93023776769,44547.495540219556
2012-04-01,36271.47957618875,34184.329848117,38423.9762103485
2012-05-01,33674.38962651783,31703.903623176862,35788.4407786081
2012-06-01,31922.867961514647,29840.221345513673,33884.98665468537
2012-07-01,33156.96244530314,30932.712349790327,35375.50280867282
2012-08-01,31216.66544990157,29216.204123308253,33191.50623492707
2012-09-01,31886.679463188724,29944.77819552728,33887.454748906675
2012-10-01,35827.209272041386,33721.63274655221,37862.812624109036
2012-11-01,40761.84862653221,38714.54059352747,42894.681215510456
2012-12-01,46845.06010179152,44708.03472976022,49061.044601631525
2013-01-01,50055.761519675914,48052.32372459624,52255.370581546405
2013-02-01,43012.334791184796,41035.43177873849,44995.02513990946
2013-03-01,42491.664208574985,40447.78428638954,44524.08892198728
2013-04-01,35747.41849674684,33488.399894798975,37868.622630285994
